	104	25	94	23	88	106	99	175	24	49	92	124	72	31	123	67	53	126	154	54	153	69	32	157	176	102	95	48	50	26	55	96	80	101	43	56	188	110	97	125	167	83	120	73	211	151	58	100	44	105	39
Plate2-B4	0	0	0	0.0051146486	0	0	0	0	0	0.0067237515	0.0013792311	0	0	0.0191942992	0.0018389748	0.0031032699	0	0.0006321476	0	0	0.0005746796	0	0	0	0.0002298718	0.0012642952	0	0.0005746796	0	0.0008620194	0	0	0.0019539107	0	0	0.001494167	0	0	0	0	0	0.0011493592	0	0.0004597437	0	0	0	0	0	0	0
Plate1-H11	0	0	0	0	0	0.001043569	0	0	0	0	0	0	0	0.01661014	0.0019132098	0	0.0040873119	0	0	0.0021741021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057396295	0.0040873119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026958866
Plate1-B12	0	0	0	0	0	0	0	0	0	0.0022537751	0	0	0.0035309143	0.0074374577	0.001352265	0.0018030201	0	0.0019532717	0	0	0.0010517617	0	0	0	0	0	0	0	0	0.0025542784	0	0	0	0	0	0	0	0	0	0	0	0.0006010067	0	0	0	0	0	0	0	0	0
Plate1-E11	0	0	0	0.0017548106	0	0	0	0	0	0	0	0	0	0.0139174634	0.0010891928	0	0.0019363427	0	0.0004840857	0.0020573642	0	0	0.0121021421	0	0	0	0	0.0012102142	0	0.0011497035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051434104
Plate2-A8	0.0007965747	0	0	0.0029373693	0	0.0027382256	0.0021407946	0	0.0084138206	0	0.0004480733	0	0.0027382256	0.0124962661	0.0011450762	0.0008463606	0.0041820173	0	0	0.0036841581	0	0.0020412227	0.0149357762	0	0.0022403664	0.0006970029	0	0	0	0.0097580404	0	0	0	0	0	0.004381161	0	0	0.0028875834	0	0	0	0	0.0019416509	0	0.0010455043	0	0	0	0	0.0055262372
Plate2-C4	0	0	0	0	0	0.0005427542	0	0	0.001677604	0	0	0	0.0045887403	0.0062663443	0.0010361672	0.0233877732	0.0039473035	0	0.0005920955	0.0041446687	0.0002960478	0.0145556816	0	0	0	0.0035525731	0	0.0113484976	0	0	0	0	0.0017762866	0	0	0.0009868259	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014308975	0
Plate2-C3	0	0	0	0.0047542789	0	0	0	0	0	0	0	0	0.0060554499	0.0107596837	0	0	0.0213692323	0.0005004504	0.0015513963	0.0317285557	0	0.0104594135	0.004904414	0	0	0.0016014413	0	0.0016014413	0.0033029727	0.0006005405	0	0	0	0	0.0048043239	0	0	0	0	0	0	0.0003503153	0	0	0	0	0	0	0	0	0.0011009909
Plate1-C12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020757283	0.0221172429	0.0095912963	0.0010020757	0.0014315368	0.0116670246	0	0.0239066638	0	0	0.0001431537	0.0037935724	0	0.0027914967	0	0.0009304989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate1-G11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062348178	0	0	0.0092307692	0	0.0017004049	0.0051012146	0	0	0.027611336	0	0	0	0	0	0	0.003805668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039676113
Plate2-G3	0	0	0	0.0034336498	0	0	0	0	0	0	0	0	0	0.0085336296	0.001009897	0	0.0122702484	0.0011613815	0.0011613815	0.0123712381	0.0006059382	0.0045445365	0.009745506	0	0	0.0017673197	0.0013633609	0.0015148455	0.00166633	0.0062108665	0	0	0	0	0	0.0019692991	0	0	0	0	0	0	0	0.0003029691	0	0	0	0	0	0	0
Plate2-E3	0	0	0	0	0	0	0	0.0023970961	0	0	0	0	0	0.0049996576	0.0006163961	0	0.013560715	0.0011643038	0.0015067461	0.016094788	0.0004109308	0	0.0143825765	0	0	0	0.0042462845	0.0010273269	0.0062324498	0.0108211766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate1-F11	0	0	0	0.0057477163	0	0	0	0	0	0	0	0	0	0.0086728934	0	0	0	0	0	0.0002565945	0	0	0.0042594683	0	0	0.0012829724	0.0025146259	0	0.0027199015	0.0020527558	0	0	0	0	0.0091347634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate2-E7	0	0	0	0.0052844265	0	0	0.0031602943	0	0	0	0	0.0034193348	0	0.008082064	0.0011915864	0	0.0009325459	0	0	0.0019687079	0	0.0051290022	0.0138845715	0.0058543156	0.0004662729	0	0.000984354	0	0.0027458294	0.0159050876	0.0018650917	0	0	0	0.0059061237	0.0017096674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate1-D11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003018412	0	0	0	0	0	0	0	0	0	0	0.0001293605	0.0089689966	0	0.0620930533	0.0522616532	0.0483377172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate2-F7	0	0	0	0	0	0	0	0	0	0	0	0	0.0054021306	0.0152471349	0	0	0	0	0	0	0	0.0101984147	0.0305952441	0	0.0011107184	0.0018680265	0.026051396	0.0008582824	0.0573534609	0.087443833	0.0374110163	0	0	0	0.0134295956	0.012520826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate2-F3	0	0	0	0.0034428111	0	0	0	0	0	0	0	0	0	0.0054647795	0	0	0	0.0008743647	0	0.0002185912	0.0008743647	0	0.0025684464	0	0	0.0019673206	0.0010383081	0.0010383081	0.0095087163	0.0191267282	0	0	0	0	0.0025137986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plate2-G7	0	0	0	0.0091052832	0	0	0.0028897007	0	0	0	0	0	0	0.0077422169	0.0015266343	0.0007633172	0.0013630664	0	0	0.0009268851	0	0.0022354288	0.0183196118	0	0.0009814078	0.001417589	0.0027261327	0	0.0022354288	0.0248078076	0.0033804046	0	0	0	0	0.0027806554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033258819
Plate2-D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004338552	0	0	0.0003977006	0	0	0	0.000361546	0.0069416826	0	0.0176072888	0.0325029828	0.1553563036	0.0554249973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
