Eigvals,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3186478482,0.6585785894,0.3685855261,0.1735851613,0.1426661708,0.1280064413,0.0963753358,0.0830794728,0.0728479862,0.0704569793,0.0587636849,0.0515054869,0.0470077662,0.0460613935,0.0398105879,0.0383505531,0.036643327,0.0350287688,0.0331672467,0.0269860185,0.0232732885,0.0223247156,0.021495573,0.0198346073,0.0177711891,0.0172639178,0.0161558558,0.015838394,0.014222265,0.0135386197,0.0123839461,0.012154152,0.0109789829,0.0105335788,0.0093314219,0.008815078,0.0080382659,0.007599365,0.0071790448,0.0068303955,0.0057724336,0.0053463597,0.0049598736,0.0046778699,0.0043216711,0.0038971229,0.0036480483,0.0031133629,0.0028539367,0.0023155185,0.0020423642,0.0015970547,0.0014292291,0.0008543153,0.0007856222,0.0005751017,3.49933630396E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion explained,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3425139072,0.1710633556,0.0957387288,0.0450881044,0.0370570108,0.0332492002,0.0250331374,0.0215795861,0.0189219953,0.0183009401,0.0152636501,0.01337836,0.0122100936,0.0119642768,0.0103406531,0.0099614145,0.0095179688,0.0090985933,0.0086150698,0.0070095186,0.0060451507,0.0057987624,0.0055833957,0.005151966,0.0046160007,0.0044842389,0.0041964238,0.0041139643,0.0036941808,0.0035166064,0.0032166843,0.0031569961,0.0028517502,0.0027360582,0.0024238024,0.0022896839,0.0020879099,0.001973907,0.0018647304,0.00177417,0.0014993683,0.0013886972,0.0012883089,0.0012150594,0.0011225381,0.0010122633,0.0009475671,0.0008086845,0.0007412995,0.0006014474,0.0005304965,0.0004148291,0.000371237,0.0002219053,0.0002040625,0.0001493805,9.08939677553E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
